# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-16 15:44:37.536
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,002947;0,1247;-0,1171;-0,0505;0,18
0,012931;0,1477;-0,1668;-0,0120;0,22
0,026729;-0,0226;-0,0717;-0,1260;0,15
0,033681;-0,1327;0,0363;-0,1353;0,19
0,042163;-0,2249;0,0795;-0,0611;0,25
0,050042;-0,2209;0,0907;0,0273;0,24
0,059550;-0,1554;0,0807;0,1037;0,20
0,074970;-0,0487;0,0192;0,1467;0,16
0,083695;0,0084;0,0137;0,0796;0,08
0,094045;0,0212;0,0153;-0,0521;0,06
0,099630;0,0531;0,0076;-0,1216;0,13
0,109265;0,1172;-0,0333;-0,1983;0,23
0,120209;0,1213;-0,0547;-0,1360;0,19
0,135349;0,0598;-0,0498;-0,0354;0,09
0,139789;0,0104;-0,0814;-0,0423;0,09
0,154124;-0,0530;-0,0725;0,0177;0,09
0,162181;-0,1127;-0,0373;0,0419;0,13
0,171097;-0,1126;-0,0352;0,0204;0,12
0,183461;-0,0750;-0,0011;0,0490;0,09
0,194035;-0,0407;-0,0006;0,0632;0,08
0,208391;-0,0310;-0,0052;0,2183;0,22
0,217760;0,0358;0,0251;0,1796;0,18
0,225364;0,0233;0,0623;0,1266;0,14
0,235126;0,0202;0,0703;0,1192;0,14
0,250236;0,0590;-0,0036;0,2221;0,23
0,260939;0,0747;-0,0138;0,2127;0,23
0,264348;0,0718;-0,0179;0,0885;0,12
0,275836;0,1628;0,0230;-0,1674;0,23
0,285364;0,1755;0,0143;-0,3898;0,43
0,300238;0,0054;0,0053;-0,2507;0,25
0,310006;-0,0593;0,0263;-0,0950;0,12
0,311807;-0,0852;0,0433;0,0342;0,10
0,327046;-0,0500;0,0705;0,0293;0,09
0,330434;0,0220;0,0480;0,0051;0,05
0,342333;0,0608;0,0234;0,1077;0,13
0,351805;0,0406;0,0179;0,1937;0,20
0,368465;0,0822;0,0775;0,1550;0,19
0,369202;0,0933;0,0678;0,1430;0,18
0,385074;0,1561;-0,0105;-0,1224;0,20
0,394047;0,1442;-0,0269;-0,2084;0,25
0,401737;0,0585;-0,0520;-0,2106;0,22
0,411461;-0,1094;0,0055;-0,1172;0,16
0,428682;-0,0756;-0,0370;0,0070;0,08
0,434232;0,0542;-0,0225;0,0115;0,06
0,443814;0,0229;-0,0321;-0,0198;0,04
0,450554;0,0308;-0,0670;-0,0079;0,07
0,466884;-0,0208;-0,0846;0,1240;0,15
0,476307;-0,1540;0,0342;0,3204;0,36
0,487624;-0,0968;0,1196;0,4785;0,50
0,491588;-0,0103;0,0535;0,4952;0,50
0,503554;0,1670;0,0321;0,3086;0,35
0,521739;0,1559;0,0116;-0,0861;0,18
0,526087;0,0798;0,0439;-0,1672;0,19
0,534531;-0,0385;0,0620;-0,1190;0,14
0,545665;-0,1683;0,0879;-0,0732;0,20
0,549881;-0,1841;0,0761;-0,0059;0,20
0,562874;-0,1024;0,0701;0,0492;0,13
0,580353;0,0131;0,0251;0,0709;0,08
0,583170;0,0687;0,0013;0,0471;0,08
0,596713;0,0440;-0,0282;-0,0843;0,10
0,599259;0,0018;-0,0151;-0,1534;0,15
0,610330;-0,0321;0,0225;-0,0884;0,10
0,625289;0,0276;-0,0469;-0,0759;0,09
0,638212;0,0243;-0,0298;-0,0805;0,09
0,642123;0,0323;-0,0222;-0,0755;0,09
0,651078;-0,0420;-0,0394;-0,0896;0,11
0,662192;-0,0629;-0,0237;-0,0772;0,10
0,677692;-0,1037;-0,0071;-0,2559;0,28
0,679512;-0,1047;-0,0067;-0,2700;0,29
0,693270;-0,0833;-0,0239;-0,1862;0,21
0,709376;-0,0182;-0,0319;0,0699;0,08
0,719945;-0,0365;-0,0105;0,1011;0,11
0,723345;0,0003;0,0069;0,0318;0,03
0,734466;-0,0096;0,0377;-0,1211;0,13
0,744771;0,0269;-0,0037;-0,2189;0,22
0,761864;0,0534;-0,0101;-0,1585;0,17
0,762083;-0,0079;0,0128;-0,1081;0,11
0,778358;-0,0542;0,0646;-0,0289;0,09
0,785367;0,0067;-0,0435;-0,0547;0,07
0,794494;0,1022;-0,0333;-0,0832;0,14
0,803108;0,0814;0,0085;-0,1980;0,21
0,810542;0,0770;0,0415;-0,2243;0,24
0,829208;0,0683;0,0246;-0,2219;0,23
0,829352;0,0746;0,0581;-0,1811;0,20
0,844503;0,0248;0,0229;-0,2051;0,21
0,850783;-0,0841;0,0714;-0,2314;0,26
0,862959;-0,0672;0,0437;-0,3247;0,33
0,879349;-0,0178;-0,0559;-0,3512;0,36
0,883757;-0,0725;-0,0435;-0,3394;0,35
0,892781;-0,1047;-0,0213;-0,3898;0,40
0,903752;-0,0554;-0,0465;-0,4620;0,47
0,920939;0,1046;-0,0484;-0,7695;0,78
0,924772;0,0821;-0,1316;-0,6793;0,70
0,938045;0,0827;-0,1069;-0,4192;0,44
0,943479;0,0406;-0,0855;-0,1809;0,20
0,964638;-0,0822;-0,0616;0,0254;0,11
0,966428;-0,0911;-0,0538;0,0582;0,12
0,979282;-0,0586;-0,0434;-0,0140;0,07
0,982740;0,0095;-0,0394;-0,2203;0,22
0,993176;0,0793;-0,0433;-0,3882;0,40
1,009646;0,0281;-0,0048;-0,5734;0,57
1,014570;0,0086;0,0021;-0,6387;0,64
1,027509;-0,0288;-0,0018;-0,7089;0,71
1,032784;-0,0023;-0,0520;-0,7912;0,79
1,045121;0,0286;-0,0674;-0,7875;0,79
1,050848;0,0478;-0,0933;-0,7455;0,75
1,060690;0,1440;-0,0936;-0,7012;0,72
1,077494;0,0514;-0,1068;-0,5984;0,61
1,079984;0,0088;-0,0444;-0,5828;0,58
1,092915;-0,0223;-0,0430;-0,6916;0,69
1,109595;0,0308;-0,0106;-1,1868;1,19
1,114778;0,0909;0,0162;-1,3604;1,36
1,126012;0,1245;0,0220;-1,3785;1,38
1,137752;0,0525;0,0783;-1,3082;1,31
1,152468;0,1385;0,1632;-1,0908;1,11
1,153737;0,1673;0,2448;-1,1517;1,19
1,169371;0,1501;0,3268;-1,3632;1,41
1,170137;0,1731;0,4460;-1,5672;1,64
1,186365;0,1286;0,5748;-1,7112;1,81
1,202746;-0,2164;0,7539;-1,9248;2,08
1,202865;-0,3264;0,7132;-2,1190;2,26
1,210577;-0,4133;0,6497;-2,2485;2,38
1,219826;-0,4933;0,6110;-2,4642;2,59
1,231189;-0,4444;0,4272;-2,5481;2,62
1,246921;-0,3993;0,1886;-2,6970;2,73
1,251470;-0,2910;-0,0083;-2,7881;2,80
1,261573;-0,1090;-0,1041;-2,9631;2,97
1,273046;0,0409;-0,0863;-3,0542;3,06
1,283797;0,2107;-0,0711;-2,9132;2,92
1,292828;0,2173;0,1677;-1,9564;1,98
1,303569;0,1455;0,3546;-1,3920;1,44
1,319885;-0,0124;0,6489;-0,8257;1,05
1,325052;-0,0056;0,7236;-0,7924;1,07
1,333961;0,0271;0,7045;-0,8307;1,09
1,345219;0,0542;0,6442;-0,9166;1,12
1,349127;0,0639;0,5879;-1,1626;1,30
1,361658;0,0324;0,5701;-1,4273;1,54
1,376598;0,0654;0,5697;-1,8029;1,89
1,382208;-0,0321;0,6534;-1,8468;1,96
1,393027;-0,0229;0,7600;-1,6561;1,82
1,408991;-0,1831;0,6661;-1,3207;1,49
1,414743;-0,1464;0,7262;-0,8769;1,15
1,426601;-0,2656;0,7180;-0,4978;0,91
1,430933;-0,4217;0,6697;-0,1880;0,81
1,444738;-0,4334;0,6165;0,0097;0,75
1,458467;-0,1139;0,4198;-0,0316;0,44
