# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-16 15:36:32.819
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,001862;0,1238;-0,1601;0,2841;0,35
0,006931;0,0201;0,0738;0,2126;0,23
0,015734;-0,1877;0,1906;0,3537;0,44
0,023144;-0,4233;0,2643;0,5234;0,72
0,032993;-0,4021;0,2369;0,2566;0,53
0,048498;-0,0751;-0,1206;-0,4866;0,51
0,059237;-0,0679;-0,2677;-0,5692;0,63
0,064460;-0,0746;-0,2750;-0,5088;0,58
0,074198;-0,0505;-0,2313;-0,3866;0,45
0,094533;0,1019;-0,1711;0,0580;0,21
0,096991;0,1399;-0,1693;0,2670;0,35
0,106772;0,1614;-0,1821;0,3809;0,45
0,115050;0,1477;-0,1666;0,3145;0,39
0,122505;0,0652;-0,0871;0,1382;0,18
0,131473;0,0143;0,0110;0,0017;0,02
0,146187;-0,0682;0,0465;-0,1335;0,16
0,156609;-0,0094;0,0704;-0,1955;0,21
0,165567;-0,0153;0,0658;-0,1506;0,17
0,181101;-0,0004;0,0166;0,0490;0,05
0,190838;0,0181;-0,0235;0,0826;0,09
0,194828;0,0439;-0,0423;0,0908;0,11
0,207566;0,0369;-0,0564;0,0516;0,08
0,211481;0,0254;-0,0778;0,0633;0,10
0,223995;0,0783;-0,0443;0,0535;0,10
0,241198;0,0440;0,0155;-0,0107;0,05
0,244079;-0,0221;0,0130;0,0423;0,05
0,256681;-0,1170;0,0010;0,0186;0,12
0,266057;-0,1096;-0,0160;-0,0788;0,14
0,281417;-0,0294;0,1225;-0,0893;0,15
0,290837;-0,0187;0,0169;-0,0576;0,06
0,293405;0,0207;-0,0500;-0,0317;0,06
0,307325;0,1098;-0,0690;-0,0564;0,14
0,324298;0,0741;-0,0735;-0,0504;0,12
0,325759;0,0594;-0,0829;0,0017;0,10
0,339760;0,0303;-0,0205;-0,0130;0,04
0,351367;-0,0128;0,0417;0,0039;0,04
0,351511;-0,0038;0,0295;0,0213;0,04
0,366898;0,0571;-0,0161;0,0074;0,06
0,382473;0,1072;-0,1267;-0,0006;0,17
0,385311;0,1158;-0,1463;-0,0110;0,19
0,391050;0,1174;-0,1612;-0,0237;0,20
0,408912;-0,0198;-0,1259;-0,0190;0,13
0,415556;-0,0557;-0,0807;0,0037;0,10
0,423548;-0,0901;-0,0882;0,0237;0,13
0,432497;-0,0202;-0,0883;-0,0452;0,10
0,448311;0,0580;-0,1244;-0,0713;0,15
0,459450;0,0320;-0,0907;0,0045;0,10
0,464449;0,0753;-0,1289;-0,0128;0,15
0,473432;0,1136;-0,2365;-0,0062;0,26
0,482351;0,1046;-0,2721;0,0025;0,29
0,491562;0,0963;-0,3438;-0,0269;0,36
0,507717;-0,0521;-0,2022;0,0843;0,23
0,513267;-0,0926;-0,1325;0,1409;0,21
0,524946;-0,0521;-0,1756;0,0021;0,18
0,540692;0,0211;-0,2427;-0,0982;0,26
0,546679;0,0133;-0,2712;-0,0945;0,29
0,557123;-0,0040;-0,2803;-0,1512;0,32
0,562837;-0,0622;-0,2076;-0,1400;0,26
0,572715;-0,0611;-0,1180;-0,1436;0,20
0,583523;0,0139;-0,1240;-0,1308;0,18
0,597630;0,1263;-0,1092;0,0314;0,17
0,607916;0,0688;-0,0430;0,2366;0,25
0,611796;0,0004;-0,0705;0,2489;0,26
0,624812;0,0231;-0,0552;0,1094;0,12
0,641277;-0,1314;-0,0235;-0,1537;0,20
0,644557;-0,0989;0,0129;-0,2557;0,27
0,657517;-0,1025;0,0064;-0,2655;0,28
0,661726;-0,0991;-0,0093;-0,1566;0,19
0,673453;-0,0602;0,0135;-0,0196;0,06
0,691275;-0,0645;0,0756;0,0778;0,13
0,695680;-0,0431;0,0931;-0,0324;0,11
0,706894;-0,0339;0,0793;-0,1325;0,16
0,725308;0,0683;0,0349;-0,1029;0,13
0,726711;0,0687;-0,0459;-0,0786;0,11
0,742769;0,1414;-0,0742;-0,1398;0,21
0,746865;0,1120;-0,0692;-0,1502;0,20
0,760578;0,0737;-0,0952;-0,1415;0,19
0,778146;-0,0715;0,1424;-0,1028;0,19
0,778335;-0,1547;0,2051;-0,0250;0,26
0,795117;-0,1239;0,1934;0,0052;0,23
0,795249;-0,0608;0,1481;-0,0624;0,17
0,809185;0,0016;0,0426;-0,1099;0,12
0,816454;0,0659;-0,0966;-0,0990;0,15
0,824913;0,0065;-0,0872;-0,1705;0,19
0,836266;0,0685;-0,0414;-0,1451;0,17
0,850397;-0,0182;-0,0049;0,0253;0,03
0,856914;0,0214;-0,0480;-0,0440;0,07
0,866743;0,0133;-0,0338;-0,1319;0,14
0,873190;0,0245;-0,0221;-0,1933;0,20
0,884105;0,0071;-0,0438;-0,2116;0,22
0,902504;-0,1977;-0,0031;-0,2595;0,33
0,905539;0,0691;-0,0313;-0,3043;0,31
0,919571;0,0310;-0,0830;-0,2027;0,22
0,921860;0,0380;-0,1343;-0,0421;0,15
0,933645;0,1311;-0,1138;0,0464;0,18
0,949266;0,1607;-0,1186;0,0932;0,22
0,955459;0,1240;-0,1105;0,0852;0,19
0,964863;0,0613;-0,1576;0,0395;0,17
0,971273;0,0608;-0,1978;-0,0606;0,22
0,986403;0,1603;-0,2737;-0,1323;0,34
0,991576;0,1349;-0,3351;-0,2070;0,42
1,012205;-0,0311;-0,3063;-0,2396;0,39
1,012658;-0,0703;-0,2400;-0,1134;0,27
1,028544;-0,1217;-0,2142;0,0333;0,25
1,036805;0,0031;-0,3626;0,0047;0,36
1,051927;0,0555;-0,4386;-0,0388;0,44
1,057679;0,0481;-0,5719;-0,1240;0,59
1,061580;0,0887;-0,5971;-0,1500;0,62
1,073926;0,1559;-0,5289;-0,1381;0,57
1,091055;0,0870;-0,5525;0,1700;0,58
1,093624;0,0598;-0,4895;0,1835;0,53
1,108265;-0,0778;-0,4102;0,2920;0,51
1,114135;-0,1661;-0,3317;0,3144;0,49
1,123123;-0,1085;-0,4577;0,1079;0,48
1,146872;0,2254;-0,9919;-0,6553;1,21
1,147055;0,3669;-1,4348;-0,9880;1,78
1,161653;0,6511;-1,7817;-1,2403;2,27
1,161831;0,6703;-2,1373;-1,4450;2,67
1,183758;0,6039;-2,5056;-1,7003;3,09
1,184155;0,2871;-2,1430;-1,1148;2,43
1,201101;-0,3403;-1,9690;-0,7485;2,13
1,201210;-0,2682;-1,8644;-0,8005;2,05
1,214338;-0,2459;-1,9558;-1,2124;2,31
1,226852;-0,3071;-2,1844;-1,7508;2,82
1,232312;-0,3359;-2,5958;-2,2256;3,44
1,243238;-0,3255;-2,3191;-1,4365;2,75
1,259473;0,1496;-2,7007;-0,8080;2,82
1,265565;0,7952;-2,6993;-1,2467;3,08
1,277635;1,1259;-2,4851;-1,6656;3,20
1,281796;1,0947;-2,4149;-1,4923;3,04
1,293271;0,7451;-2,3913;-1,2199;2,79
1,308120;0,4861;-1,5947;0,5565;1,76
1,315081;0,4313;-1,6146;0,1594;1,68
1,327524;-0,4141;-1,2283;-0,2995;1,33
